Handle,Title,Category type,Variant Price
schwarzkopf-igora-royal-hair-color-7-0-medium-blonde,Schwarzkopf Igora Royal Hair Color 7-0 Medium Blonde,0,875
schwarzkopf-igora-royal-hair-color-7-65-medium-blonde-chocolate-gold,Schwarzkopf Igora Royal Hair Color 7-65 Medium Blonde Chocolate Gold,0,875
schwarzkopf-igora-royal-hair-color-8-0-light-blonde,Schwarzkopf Igora Royal Hair Color 8-0 Light Blonde,0,875
schwarzkopf-igora-royal-hair-color-8-1-light-blonde-cendre,Schwarzkopf Igora Royal Hair Color 8-1 Light Blonde Cendre,0,875
schwarzkopf-igora-royal-hair-color-8-4-light-blonde-beige,Schwarzkopf Igora Royal Hair Color 8-4 Light Blonde Beige,0,875
schwarzkopf-igora-royal-hair-color-8-65-light-blonde-chocolate-gold,Schwarzkopf Igora Royal Hair Color 8-65 Light Blonde Chocolate Gold,0,875
schwarzkopf-igora-royal-hair-color-9-00-extra-light-blonde-natural-extra,Schwarzkopf Igora Royal Hair Color 9-00 Extra Light Blonde Natural Extra,0,800
schwarzkopf-igora-royal-hair-color-9-1-extra-light-blonde-cenre,Schwarzkopf Igora Royal Hair Color 9-1 Extra Light Blonde Cenre,0,800
schwarzkopf-igora-royal-hair-color-9-4-extra-light-blonde-beige,Schwarzkopf Igora Royal Hair Color 9-4 Extra Light Blonde Beige,0,800
schwarzkopf-igora-royal-hair-color-9-55-extra-light-blonde-gold-extra,Schwarzkopf Igora Royal Hair Color 9-55 Extra Light Blonde Gold Extra,0,875
schwarzkopf-igora-royal-highlifts-hair-color-12-0-special-blonde-natural,Schwarzkopf Igora Royal Highlifts Hair Color 12-0 Special Blonde Natural,0,875
schwarzkopf-igora-royal-highlifts-hair-color-12-11-special-blonde-cendre-extra,Schwarzkopf Igora Royal Highlifts Hair Color 12-11 Special Blonde Cendre Extra,0,875
schwarzkopf-igora-royal-highlifts-hair-color-12-19-special-blonde-cendre-violet,Schwarzkopf Igora Royal Highlifts Hair Color 12-19 Special Blonde Cendre Violet,0,875
schwarzkopf-igora-royal-highlifts-hair-color-12-1-special-blonde-cendre,Schwarzkopf Igora Royal Highlifts Hair Color 12-1 Special Blonde Cendre,0,875
schwarzkopf-igora-royal-highlifts-hair-color-12-2-special-blone-ash,Schwarzkopf Igora Royal Highlifts Hair Color 12-2 Special Blone Ash,0,875
schwarzkopf-igora-royal-highlifts-hair-color-12-4-special-blonde-beige,Schwarzkopf Igora Royal Highlifts Hair Color 12-4 Special Blonde Beige,0,875
Hair Shampoo,,2,
Shampoo Beaver,,3,
beaver-cherry-blossom-miracle-beauty-power-shampoo-350ml,"Beaver Cherry Blossom Miracle Beauty Power Shampoo, 350ml",0,2050
beaver-luxliss-argan-oil-luxury-intensive-moisture-shampoo-250ml,Beaver Luxliss Argan Oil Luxury Intensive Moisture Shampoo 250ml,0,2900
Shampoo Bioderma ,,3,
bioderma-node-non-detergent-fluid-shampoo-all-hair-types-200ml,"Bioderma Node Non-Detergent Fluid Shampoo, All Hair Types, 200ml",0,3300
Shampoo Bioenergy,,3,
bioenergy-anti-hairloss-with-herbal-complex-shampoo-400ml,"Bioenergy Anti-Hairloss With Herbal Complex Shampoo, 400ml",0,1325
bioenergy-full-density-thickening-shampoo-with-herbal-complex-400ml,"Bioenergy Full Density Thickening Shampoo With Herbal Complex, 400ml",0,1325
bioenergy-scalp-protection-and-anti-dandruff-shampoo-with-herbal-complex-400ml,"Bioenergy Scalp Protection And Anti-Dandruff Shampoo With Herbal Complex, 400ml",0,1325
Shampoo Clear,,3,
clear-lemon-fresh-triple-anti-dandruff-shampoo-185ml,"Clear Lemon Fresh Triple Anti-Dandruff Shampoo, 185ml",0,199
clear-lemon-fresh-triple-anti-dandruff-shampoo-400ml,"Clear Lemon Fresh Triple Anti-Dandruff Shampoo, 400ml",0,400
clear-men-anti-dandruff-anti-hairfall-shampoo-320ml,"Clear Men Anti-Dandruff Anti-Hairfall Shampoo, 320ml",0,450
clear-men-anti-dandruff-cool-sport-menthol-shampoo-320ml,"Clear Men Anti-Dandruff Cool Sport Menthol Shampoo, 320ml",0,450
clear-men-anti-dandruff-deep-cleanse-shampoo-320ml,"Clear Men Anti-Dandruff Deep Cleanse Shampoo, 320ml",0,450
clear-men-triple-anti-dandruff-cool-black-shine-shampoo-185ml,"Clear Men Triple Anti-Dandruff Cool Black Shine Shampoo, 185ml",0,199
clear-men-triple-anti-dandruff-cool-black-shine-shampoo-400ml,"Clear Men Triple Anti-Dandruff Cool Black Shine Shampoo, 400ml",0,400
clear-men-triple-anti-dandruff-cool-sport-menthol-shampoo-185ml,"Clear Men Triple Anti-Dandruff Cool Sport Menthol Shampoo, 185ml",0,199
Shampoo Dabur,,3,
dabur-vatika-almond-and-honey-moisture-treatment-shampoo-400ml-80ml,Dabur Vatika Almond And Honey Moisture Treatment Shampoo 400ml + 80ml,0,400
dabur-vatika-black-seed-shampoo-200ml,"Dabur Vatika Black Seed Shampoo, 200ml",0,230
dabur-vatika-coconut-and-castor-volume-and-thickness-shampoo-400ml,Dabur Vatika Coconut And Castor Volume And Thickness Shampoo 400ml,0,400
dabur-vatika-egg-protein-nourishing-shampoo-for-thin-limp-hair-400ml,"Dabur Vatika Egg Protein Nourishing Shampoo, For Thin & Limp Hair, 400ml",0,415
dabur-vatika-hairfall-control-shampoo-cactus-and-gergir-400ml,"Dabur Vatika Hairfall Control Shampoo, Cactus And Gergir 400ml",0,400
dabur-vatika-lemon-and-yoghurt-dandruff-guard-shampoo-200ml,"Dabur Vatika Lemon And Yoghurt Dandruff Guard Shampoo, 200ml",0,220
dabur-vatika-lemon-and-yoghurt-dandruff-guard-shampoo-400ml,Dabur Vatika Lemon And Yoghurt Dandruff Guard Shampoo 400ml,0,400
dabur-vatika-moisture-treatment-shampoo-almond-honey-200ml,"Dabur Vatika Moisture Treatment Shampoo, Almond & Honey 200ml",0,220
dabur-vatika-olive-and-henna-nourish-protect-shampoo-400ml-80ml-free,Dabur Vatika Olive And Henna Nourish & Protect Shampoo 400ml + 80ml Free,0,400
dabur-vatika-olive-and-henna-shampoo-200ml-40ml-free,Dabur Vatika Olive And Henna Shampoo 200ml + 40ml Free,0,220
